FIPS,county,state,lung_cancer_per_100000,lifetime_co2_state,allpower_potential_state,year_id,Male_Chronic respiratory diseases,Male_Chronic obstructive pulmonary disease,Male_Pneumoconiosis,Male_Silicosis,Male_Asbestosis,Male_Coal workers pneumoconiosis,Male_Other pneumoconiosis,Male_Asthma,Male_Interstitial lung disease and pulmonary sarcoidosis,Male_Other chronic respiratory diseases,Female_Chronic respiratory diseases,Female_Chronic obstructive pulmonary disease,Female_Pneumoconiosis,Female_Silicosis,Female_Asbestosis,Female_Coal workers pneumoconiosis,Female_Other pneumoconiosis,Female_Asthma,Female_Interstitial lung disease and pulmonary sarcoidosis,Female_Other chronic respiratory diseases,Both_Chronic respiratory diseases,Both_Chronic obstructive pulmonary disease,Both_Pneumoconiosis,Both_Silicosis,Both_Asbestosis,Both_Coal workers pneumoconiosis,Both_Other pneumoconiosis,Both_Asthma,Both_Interstitial lung disease and pulmonary sarcoidosis,Both_Other chronic respiratory diseases
16001,Ada,ID,49.9,NA,8502145,2014,64.5122881301697,53.4323517358753,0.202080322922825,0.0231761239270769,0.152954849721421,0.0102465197024776,0.0157028295718497,0.71711737701298806,8.96283246230936,1.19790623204931,47.4503344135598,40.1422149884583,0.303787584814441,0.00240300082888448,0.0509602102378031,0.00149038590187963,0.248933987845874,1.18276695823911,5.06516502138118,0.756399860666783,54.6662454653901,45.6975267245659,0.263265678044321,0.0111272799134845,0.0926295842478956,0.00505620929524966,0.154452604587691,0.99008596738386,6.77453652766826,0.940830567727703
16003,Adams,ID,38.1,NA,8502145,2014,49.3875978403512,40.4542365900272,0.736202893893602,0.122722940958877,0.529146685424361,0.0370593036060341,0.0472739639043297,0.902667832790278,6.02840003395779,1.2660904896824,35.6319516860345,29.7320997194362,0.332821400016998,0.00307567824580716,0.0515631812048185,0.00181304716036104,0.276369493406011,1.41877623681049,3.61027169587151,0.537982633899374,42.4749456373941,35.0163325077781,0.539481085208372,0.0636073769362145,0.292471823191609,0.0193042419030506,0.164097643177498,1.15723599857566,4.85965361270358,0.902242433128453
16005,Bannock,ID,36.5,NA,8502145,2014,81.6176353772229,65.2498594708395,3.02771022835624,0.184697335469629,2.63424815350468,0.0810167710119547,0.127747968369974,1.12586657983751,10.6276804069879,1.58651869120175,53.267655951114,45.2517003261181,0.428985231289061,0.00561232456252392,0.0270007125872416,0.00174735128659327,0.394624842852702,1.16454018158476,5.63510136102377,0.787328851098294,65.3272757135028,53.66522744873,1.54341423425218,0.0833708839559476,1.14096904085087,0.0354259410605505,0.283648368384803,1.14908437769011,7.83322752649974,1.1363221263308
16007,Bear Lake,ID,NA,NA,8502145,2014,78.705576714803,64.5032419876072,0.844870866603907,0.11326823201404,0.502221956753127,0.130765191674018,0.0986154861627215,1.01664511520791,10.4575049873571,1.88331375802689,42.1953881437285,34.577442295235,0.574353433150846,0.0105501155659466,0.0314947018346845,0.00226155257515168,0.530047063175063,1.56262123490821,4.71062753238484,0.770343648049614,60.0521973552648,49.2125214691064,0.704794263079654,0.0610505817251045,0.261979870870791,0.0656485968408804,0.316115213642879,1.29247228803201,7.52213339953545,1.32027593551128
16009,Benewah,ID,58.7,NA,8502145,2014,90.1889113093737,78.8964901059306,1.82737887584479,0.469841789696311,1.21507300478662,0.0567730221732537,0.0856910591886046,1.15151713951285,7.21293761021201,1.10058757787343,71.4663625610345,63.5629816915486,0.384363376932332,0.00361538810453404,0.0707913659064964,0.00173791716539855,0.308218705755903,1.8458131457949,5.04706859107744,0.626135755681308,80.3659029318737,70.7999175249757,1.08455619147592,0.229228586590033,0.623508585615799,0.0280241031194788,0.203794916150605,1.50741430267609,6.11904592620756,0.854968986538491
16011,Bingham,ID,35.2,NA,8502145,2014,74.9271687876636,62.9392584549729,1.31251744852826,0.126735964961086,1.01287619613037,0.0369141324979279,0.135991154938873,1.1186830311891,7.90221843859142,1.65449141438188,45.8510576848382,37.5792152061612,0.443674214864705,0.00403714628585979,0.0281886169103219,0.00168311380365308,0.40976533786487,1.27476895056955,5.74248403421274,0.810915279029987,58.8026676779734,48.8428348291965,0.830215483652235,0.0588973978719742,0.46254998328785,0.0171182446130534,0.291649857879357,1.20227669260372,6.73726008080628,1.19008059171471
16013,Blaine,ID,31.4,NA,8502145,2014,40.2259282108295,31.756749975463,0.450116638207924,0.0515758286105714,0.345514346123395,0.015406451194,0.0376200122799577,0.76217236336879,6.11772063820653,1.13916859558327,33.0819750366263,27.3765787003543,0.385457907412105,0.00372462537264884,0.0267659179837038,0.00134925568960985,0.353618108366142,1.16205779190648,3.57820424508473,0.579676391868746,36.492437944394,29.4378830121742,0.418945597858066,0.0269561261090068,0.181280548003608,0.00808035969301723,0.202628564052434,0.965617391599286,4.82108048963998,0.848911453122465
16015,Boise,ID,48.5,NA,8502145,2014,38.6648800826108,31.3144428146025,0.279933125247234,0.0401660989195418,0.196528404744112,0.0152684452672196,0.027970176316361,0.708873360278801,5.25468586917972,1.10694491330248,63.6837638001572,56.9334762010374,0.464435840344051,0.00416662796680597,0.0622565837692213,0.00210661946373648,0.395906009144287,1.36916671593241,4.18495041881384,0.731734624029417,50.9806789744287,43.8708660205604,0.378757636843695,0.022397209750097,0.130396442877347,0.00861440862689202,0.217349575589358,1.03988940413064,4.77331695581217,0.917848957081827
16017,Bonner,ID,51.9,NA,8502145,2014,56.9603595087358,46.8393873038624,1.15937968176433,0.0649351984966996,1.0246688199487,0.0291620028938544,0.0406136604250803,0.920732325526091,7.05518035829769,0.985679839285325,44.4215648935571,37.77491420493,0.416089941849928,0.00294444738820853,0.166180032376923,0.00165410325855436,0.245311358826242,1.25651559798058,4.44186470928356,0.532180439513049,50.0161497746717,41.7597632234372,0.758941477124509,0.031552876503374,0.558069949368278,0.0140592595349203,0.155259391717937,1.09927014055558,5.65916136782158,0.739013565732841
16019,Bonneville,ID,36.3,NA,8502145,2014,77.2201257019184,64.6042609760056,1.9523559861144,0.128669553016092,1.64886482387601,0.0681988029865845,0.106622806235715,1.09639888980547,8.08863032209874,1.47847952789421,53.9436446446137,45.9857421034754,0.408338416374788,0.00464369053371108,0.0265699189638736,0.00167444205665427,0.375450364820549,1.26920393351332,5.46255948842146,0.817800702828745,63.7466696319955,53.7599413415621,1.0596379688073,0.0576029860214944,0.706919001833309,0.0293791728582436,0.265736808094255,1.1930211543392,6.6338736765307,1.10019549075619
