FIPS,Location,County,State,mortality_resp,perc_mortality_change_resp,mortality_ast,perc_mortality_change_ast,mortality_lung,perc_mortality_change_lung
21057,"Cumberland County, Kentucky",Cumberland,Kentucky,71.6,78.08,0.99,-57.78,4.4,80.1
21059,"Daviess County, Kentucky",Daviess,Kentucky,65,38.38,1.12,-47.87,5.97,78.48
21061,"Edmonson County, Kentucky",Edmonson,Kentucky,71,63.56,1.08,-48.01,4.4,78.62
21063,"Elliott County, Kentucky",Elliott,Kentucky,102,38.92,1.03,-56.64,3.85,80.15
21065,"Estill County, Kentucky",Estill,Kentucky,80.6,119.36,1.1,-42.99,4.19,122.22
21067,"Fayette County, Kentucky",Fayette,Kentucky,58.3,26.59,0.98,-61.56,5.85,103.7
21069,"Fleming County, Kentucky",Fleming,Kentucky,88.8,89.54,1.12,-46.63,5.41,137.01
21071,"Floyd County, Kentucky",Floyd,Kentucky,130,55.64,1.49,-43.24,4.01,95.99
21073,"Franklin County, Kentucky",Franklin,Kentucky,77.6,90.86,1.29,-40.93,5.33,116.26
21075,"Fulton County, Kentucky",Fulton,Kentucky,89.3,78.03,1.86,-13.13,5.79,107.71
21077,"Gallatin County, Kentucky",Gallatin,Kentucky,96,103.05,1.04,-46.27,5.3,129.23
21079,"Garrard County, Kentucky",Garrard,Kentucky,63,63.61,0.81,-61.32,4.61,94.38
21081,"Grant County, Kentucky",Grant,Kentucky,90.2,78.2,1.09,-42.40,5.61,128.5
21083,"Graves County, Kentucky",Graves,Kentucky,102,130.48,1.18,-23.20,5.71,113.36
21085,"Grayson County, Kentucky",Grayson,Kentucky,83.4,116.44,1.51,-31.37,4.39,111.4
21087,"Green County, Kentucky",Green,Kentucky,65.7,49.57,1.14,-49.96,3.95,82.57
21089,"Greenup County, Kentucky",Greenup,Kentucky,79.5,47.18,1.14,-42.59,5.78,139.8
21091,"Hancock County, Kentucky",Hancock,Kentucky,64.8,35.8,1.01,-46.87,4.52,74.83
21093,"Hardin County, Kentucky",Hardin,Kentucky,70.7,66.95,1.04,-44.20,4.69,94.48
21095,"Harlan County, Kentucky",Harlan,Kentucky,133,59.86,1.58,-42.02,4.44,88.11
21097,"Harrison County, Kentucky",Harrison,Kentucky,73.3,82.99,0.95,-53.29,5.05,118.91
21099,"Hart County, Kentucky",Hart,Kentucky,89.3,61.93,1.13,-53.23,4.21,68.76
2110,"Juneau City and Borough, Alaska",Juneau City and Borough,Alaska,45,-3.2,2.61,5.83 (,7.38,128.79
21101,"Henderson County, Kentucky",Henderson,Kentucky,79.8,86.08,1.25,-36.69,5.16,81.84
21103,"Henry County, Kentucky",Henry,Kentucky,79.1,63.27,0.99,-51.36,4.59,96.01
21105,"Hickman County, Kentucky",Hickman,Kentucky,61.8,50.66,1.17,-31.28,4.68,85.64
21107,"Hopkins County, Kentucky",Hopkins,Kentucky,88.4,99.48,1.66,-40.77,4.78,86.98
21109,"Jackson County, Kentucky",Jackson,Kentucky,89.7,78,1.1,-55.50,4.38,98.63
21111,"Jefferson County, Kentucky",Jefferson,Kentucky,66.4,29.51,1.19,-38.84,5.9,100.2
21113,"Jessamine County, Kentucky",Jessamine,Kentucky,67.8,49,0.91,-60.47,5.47,105.03
21115,"Johnson County, Kentucky",Johnson,Kentucky,113,61.84,1.1,-53.99,4.32,106
21117,"Kenton County, Kentucky",Kenton,Kentucky,74,56.74,0.83,-47.22,6.51,139.02
21119,"Knott County, Kentucky",Knott,Kentucky,100,76.98,1.31,-46.86,3.98,92.18
21121,"Knox County, Kentucky",Knox,Kentucky,94,23.32,0.88,-58.76,4.26,77.52
21123,"Larue County, Kentucky",Larue,Kentucky,73.7,63.52,1.12,-49.59,4.71,90.73
21125,"Laurel County, Kentucky",Laurel,Kentucky,80.9,49.39,0.97,-55.69,5.53,103.95
21127,"Lawrence County, Kentucky",Lawrence,Kentucky,115,60.64,1.09,-56.41,4.13,103.75
21129,"Lee County, Kentucky",Lee,Kentucky,128,179.96,1.33,-43.72,4.14,106.78
21131,"Leslie County, Kentucky",Leslie,Kentucky,146,81.11,1.39,-40.12,4.04,78.38
21133,"Letcher County, Kentucky",Letcher,Kentucky,120,42.41,1.44,-43.42,4.37,94.14
21135,"Lewis County, Kentucky",Lewis,Kentucky,111,84.17,1.26,-49.20,5.97,132.51
21137,"Lincoln County, Kentucky",Lincoln,Kentucky,100,102.01,1.08,-56.69,4.76,80.34
21139,"Livingston County, Kentucky",Livingston,Kentucky,84.8,96.32,1,-36.34,5.41,101.9
21141,"Logan County, Kentucky",Logan,Kentucky,83.9,74.72,1.16,-39.67,4.35,89.81
21143,"Lyon County, Kentucky",Lyon,Kentucky,64.6,75.51,0.97,-38.13,5.41,102.11
21145,"McCracken County, Kentucky",McCracken,Kentucky,77.3,77.14,0.93,-35.14,6.28,113.52
21147,"McCreary County, Kentucky",McCreary,Kentucky,130,70.24,1.3,-52.02,5.09,96.8
21149,"McLean County, Kentucky",McLean,Kentucky,74.6,69.68,1.26,-40.79,5.1,92.98
21151,"Madison County, Kentucky",Madison,Kentucky,73.5,97.73,0.92,-56.76,5.94,123.79
21153,"Magoffin County, Kentucky",Magoffin,Kentucky,160,138.5,1.34,-53.54,3.67,77.74
21155,"Marion County, Kentucky",Marion,Kentucky,77.5,100.08,1.08,-51.09,6.17,108.88
21157,"Marshall County, Kentucky",Marshall,Kentucky,84.7,118.86,0.93,-29.82,5.37,120.85
21159,"Martin County, Kentucky",Martin,Kentucky,113,40.95,1.4,-40.22,4.47,98.95
21161,"Mason County, Kentucky",Mason,Kentucky,96.5,113.68,1.69,-42.05,8.24,171.95
21163,"Meade County, Kentucky",Meade,Kentucky,78.4,69.5,0.96,-52.08,5.18,85.52
21165,"Menifee County, Kentucky",Menifee,Kentucky,83.2,58.41,1.14,-54.33,4.17,96.99
21167,"Mercer County, Kentucky",Mercer,Kentucky,87.1,86.32,1.2,-48.11,5.34,108.81
21169,"Metcalfe County, Kentucky",Metcalfe,Kentucky,111,100.98,1.19,-51.65,4.16,80.43
21171,"Monroe County, Kentucky",Monroe,Kentucky,73.7,81.93,1.02,-49.36,5.04,91.77
21173,"Montgomery County, Kentucky",Montgomery,Kentucky,67.9,74.14,0.93,-56.27,4.9,111.73
21175,"Morgan County, Kentucky",Morgan,Kentucky,90.3,68.27,1.2,-54.30,3.99,101.83
21177,"Muhlenberg County, Kentucky",Muhlenberg,Kentucky,75.9,32.06,1.21,-38.62,5.36,100.3
21179,"Nelson County, Kentucky",Nelson,Kentucky,73.2,77.77,0.86,-50.86,5.06,97.47
21181,"Nicholas County, Kentucky",Nicholas,Kentucky,116,142.47,1.09,-49.83,5.27,136.31
21183,"Ohio County, Kentucky",Ohio,Kentucky,66.9,39.55,1.01,-45.00,5.1,84.88
21185,"Oldham County, Kentucky",Oldham,Kentucky,57.3,26.13,0.68,-55.11,4.82,96.45
21187,"Owen County, Kentucky",Owen,Kentucky,71.3,83.19,0.81,-54.31,4.23,109.8
21189,"Owsley County, Kentucky",Owsley,Kentucky,142,165.35,1.37,-46.72,4.6,108.4
21191,"Pendleton County, Kentucky",Pendleton,Kentucky,85.7,67.87,1.13,-45.66,6.36,138.47
21193,"Perry County, Kentucky",Perry,Kentucky,136,100.33,1.19,-47.74,4.14,78.18
21195,"Pike County, Kentucky",Pike,Kentucky,118,73.23,1.25,-43.71,4.13,91.49
21197,"Powell County, Kentucky",Powell,Kentucky,116,120,1.24,-47.85,4.65,113.85
21199,"Pulaski County, Kentucky",Pulaski,Kentucky,89.3,95.62,1.01,-48.94,5.07,107.64
21201,"Robertson County, Kentucky",Robertson,Kentucky,78.8,93.34,1.11,-46.29,5.38,145.95
21203,"Rockcastle County, Kentucky",Rockcastle,Kentucky,92.9,84.77,0.91,-56.31,4.78,102.33
21205,"Rowan County, Kentucky",Rowan,Kentucky,91.4,58.4,0.93,-56.74,4.47,105.48
21207,"Russell County, Kentucky",Russell,Kentucky,88.8,95.23,0.88,-59.61,4.45,82.9
21209,"Scott County, Kentucky",Scott,Kentucky,64.4,44.12,0.86,-56.03,5.21,112.3
21211,"Shelby County, Kentucky",Shelby,Kentucky,57,40.71,0.92,-52.92,4.14,85.48
21213,"Simpson County, Kentucky",Simpson,Kentucky,61.4,59.25,1.08,-40.54,4.67,103.32
21215,"Spencer County, Kentucky",Spencer,Kentucky,69.6,49.97,0.8,-53.19,4.9,102.45
21217,"Taylor County, Kentucky",Taylor,Kentucky,64.5,73.87,1.02,-50.08,4.53,91.8
21219,"Todd County, Kentucky",Todd,Kentucky,92.6,98.82,1.31,-47.22,4.05,74.54
2122,"Kenai Peninsula Borough, Alaska",Kenai Peninsula Borough,Alaska,51.1,-3.39,1.47,-34.49,5.44,83.85
21221,"Trigg County, Kentucky",Trigg,Kentucky,79.4,126.98,1.17,-43.12,4.55,97.24
21223,"Trimble County, Kentucky",Trimble,Kentucky,83,83.28,1.02,-42.11,4.73,114.42
21225,"Union County, Kentucky",Union,Kentucky,84.4,100.85,1.33,-38.47,5.6,90.17
21227,"Warren County, Kentucky",Warren,Kentucky,67.2,69.61,1.06,-35.94,5.56,115.87
21229,"Washington County, Kentucky",Washington,Kentucky,62.7,66.63,1.04,-51.51,5.3,103.58
21231,"Wayne County, Kentucky",Wayne,Kentucky,90,91.9,1.15,-51.92,4.82,97.28
21233,"Webster County, Kentucky",Webster,Kentucky,99.7,118.35,1.62,-38.72,4.43,83.27
21235,"Whitley County, Kentucky",Whitley,Kentucky,102,76.23,1.02,-50.12,4.92,109.12
21237,"Wolfe County, Kentucky",Wolfe,Kentucky,148,142.56,1.4,-51.31,4.1,96.75
21239,"Woodford County, Kentucky",Woodford,Kentucky,60.2,61.83,0.83,-53.08,4.76,113.69
2130,"Ketchikan Gateway Borough, Alaska",Ketchikan Gateway Borough,Alaska,55.5,14.02,1.97,-14.61,6.85,102.89
2150,"Kodiak Island Borough, Alaska",Kodiak Island Borough,Alaska,50.3,-10.36,1.28,-43.80,5.99,65.12
2158,"Kusilvak Census Area, Alaska",Kusilvak Census Area,Alaska,115,8.17,2.23,-52.23,9.92,59.27
2164,"Lake and Peninsula Borough, Alaska",Lake and Peninsula Borough,Alaska,71.1,-9.25,1.69,-43.43,7.82,54.95
2170,"Matanuska-Susitna Borough, Alaska",Matanuska-Susitna Borough,Alaska,53.4,8.27,1.59,-33.69,5.6,96.32
2180,"Nome Census Area, Alaska",Nome Census Area,Alaska,72.1,-3.75,1.32,-53.27,6.42,44.88
2185,"North Slope Borough, Alaska",North Slope Borough,Alaska,89.6,-29.22,1.11,-58.65,5.99,-2.88
2188,"Northwest Arctic Borough, Alaska",Northwest Arctic Borough,Alaska,63.3,-7.57,1.24,-50.07,6.95,49.6
2195,"Petersburg Borough, Alaska",Petersburg Borough,Alaska,55.5,14.02,1.97,-14.61,6.85,102.89
2198,"Prince of Wales-Hyder Census Area, Alaska",Prince of Wales-Hyder Census Area,Alaska,55.5,14.02,1.97,-14.61,6.85,102.89
22001,"Acadia Parish, Louisiana",Acadia,Louisiana,56,40.1,1.25,-51.54,5.15,76.62
22003,"Allen Parish, Louisiana",Allen,Louisiana,60.1,37.9,1.28,-46.79,5.35,72.88
22005,"Ascension Parish, Louisiana",Ascension,Louisiana,60.4,76.93,0.96,-50.98,6.15,120.43
22007,"Assumption Parish, Louisiana",Assumption,Louisiana,43,56.56,1.25,-46.83,6.63,130.88
22009,"Avoyelles Parish, Louisiana",Avoyelles,Louisiana,64.4,78.14,1.18,-38.46,4.44,92.51
22011,"Beauregard Parish, Louisiana",Beauregard,Louisiana,62.6,78.13,1.18,-43.78,5.44,88.09
22013,"Bienville Parish, Louisiana",Bienville,Louisiana,67,105.78,1.88,-26.69,4.89,91.32
22015,"Bossier Parish, Louisiana",Bossier,Louisiana,71.6,74.79,1.07,-35.51,5.45,85.41
22017,"Caddo Parish, Louisiana",Caddo,Louisiana,69.7,109.27,1.88,-20.87,5.34,109.9
22019,"Calcasieu Parish, Louisiana",Calcasieu,Louisiana,70.6,80.96,1.58,-28.71,7.79,134.74
22021,"Caldwell Parish, Louisiana",Caldwell,Louisiana,85.1,137.44,1.29,-23.06,5.08,113.38
22023,"Cameron Parish, Louisiana",Cameron,Louisiana,45.4,47,0.82,-49.86,3.75,62.12
22025,"Catahoula Parish, Louisiana",Catahoula,Louisiana,65.7,77.87,1.48,-27.71,5.6,109.73
22027,"Claiborne Parish, Louisiana",Claiborne,Louisiana,49,70.09,1.56,-28.23,4.45,90.46
22029,"Concordia Parish, Louisiana",Concordia,Louisiana,66.6,74.81,2.05,-19.58,5.49,114.34
22031,"De Soto Parish, Louisiana",De Soto,Louisiana,66.4,117.82,1.41,-44.17,4.82,89.75
22033,"East Baton Rouge Parish, Louisiana",East Baton Rouge,Louisiana,49.5,68.07,1.01,-41.68,5.87,116.81
22035,"East Carroll Parish, Louisiana",East Carroll,Louisiana,71.4,95.92,2.64,-21.84,5.14,97.29
22037,"East Feliciana Parish, Louisiana",East Feliciana,Louisiana,79.2,120.81,1.62,-34.22,6.05,121.75
22039,"Evangeline Parish, Louisiana",Evangeline,Louisiana,64.9,45.1,1.23,-47.98,4.75,75.91
22041,"Franklin Parish, Louisiana",Franklin,Louisiana,51.6,45.26,1.35,-30.79,5.29,92.64
22043,"Grant Parish, Louisiana",Grant,Louisiana,85.3,90.49,1.5,-41.08,5.37,82.11
22045,"Iberia Parish, Louisiana",Iberia,Louisiana,54.4,57.12,1.11,-42.92,5.33,94.74
22047,"Iberville Parish, Louisiana",Iberville,Louisiana,90.1,105.63,1.6,-50.29,4.99,74.92
22049,"Jackson Parish, Louisiana",Jackson,Louisiana,59.9,85.19,1.17,-37.20,4.88,80.04
22051,"Jefferson Parish, Louisiana",Jefferson,Louisiana,53.6,48.09,1.08,-37.86,8.23,179.41
22053,"Jefferson Davis Parish, Louisiana",Jefferson Davis,Louisiana,62.6,55.14,1.3,-44.14,5.61,83.68
22055,"Lafayette Parish, Louisiana",Lafayette,Louisiana,44.8,15.58,1.04,-55.47,5.29,69.63
22057,"Lafourche Parish, Louisiana",Lafourche,Louisiana,47.2,64.3,0.94,-40.52,6.97,167.9
22059,"LaSalle Parish, Louisiana",LaSalle,Louisiana,73.8,99.2,0.99,-34.98,5,96.97
22061,"Lincoln Parish, Louisiana",Lincoln,Louisiana,53,73.76,1.59,-24.58,5.11,87.25
22063,"Livingston Parish, Louisiana",Livingston,Louisiana,82.7,82.33,0.79,-49.10,6.73,136.14
22065,"Madison Parish, Louisiana",Madison,Louisiana,65.4,75.94,2.31,-23.71,5.49,98.53
22067,"Morehouse Parish, Louisiana",Morehouse,Louisiana,71.8,70.27,1.72,-19.54,6.9,110.04
22069,"Natchitoches Parish, Louisiana",Natchitoches,Louisiana,58.2,75.03,1.74,-37.86,5.57,91.51
22071,"Orleans Parish, Louisiana",Orleans,Louisiana,39.4,4.68,1.94,-53.82,5.32,100.93
22073,"Ouachita Parish, Louisiana",Ouachita,Louisiana,69,64.06,1.25,-28.70,5.34,89.92
22075,"Plaquemines Parish, Louisiana",Plaquemines,Louisiana,55.7,33.52,1.03,-50.19,4.96,114.57
22077,"Pointe Coupee Parish, Louisiana",Pointe Coupee,Louisiana,43.8,42.64,1.23,-53.61,4.26,79.79
22079,"Rapides Parish, Louisiana",Rapides,Louisiana,65.1,37.68,1.42,-41.03,6.17,80.97
22081,"Red River Parish, Louisiana",Red River,Louisiana,83.6,114.4,1.73,-27.43,4.74,93.1
22083,"Richland Parish, Louisiana",Richland,Louisiana,76.7,78.02,1.43,-30.51,5.74,94.07
22085,"Sabine Parish, Louisiana",Sabine,Louisiana,57.7,60.09,1.01,-47.85,4.35,81.75
22087,"Saint Bernard Parish, Louisiana",Saint Bernard,Louisiana,62.9,47.23,1.1,-31.53,7.65,173.34
22089,"Saint Charles Parish, Louisiana",Saint Charles,Louisiana,49.1,53.66,1.13,-42.29,6.4,141.32
22091,"Saint Helena Parish, Louisiana",Saint Helena,Louisiana,51.7,75.45,1.68,-42.54,5.38,123.18
22093,"Saint James Parish, Louisiana",Saint James,Louisiana,36.3,30,1.28,-49.40,6.4,124.27
22095,"Saint John the Baptist Parish, Louisiana",Saint John the Baptist,Louisiana,47.7,44.32,1.58,-34.16,6.81,148.75
22097,"Saint Landry Parish, Louisiana",Saint Landry,Louisiana,58.7,56.23,1.47,-47.13,3.91,67.39
22099,"Saint Martin Parish, Louisiana",Saint Martin,Louisiana,56.2,81.33,1.03,-49.15,5.08,96.91
22101,"Saint Mary Parish, Louisiana",Saint Mary,Louisiana,63.5,57.78,1.83,-37.08,6.72,111.44
22103,"Saint Tammany Parish, Louisiana",Saint Tammany,Louisiana,59.6,58.82,0.79,-50.53,6.55,147.83
22105,"Tangipahoa Parish, Louisiana",Tangipahoa,Louisiana,66.8,88.11,1.16,-46.70,6.13,127.76
22107,"Tensas Parish, Louisiana",Tensas,Louisiana,60.3,59.49,2.07,-36.51,5.35,82
22109,"Terrebonne Parish, Louisiana",Terrebonne,Louisiana,64.6,67.79,1.62,-35.11,10,156.02
22111,"Union Parish, Louisiana",Union,Louisiana,64.6,67.27,1.12,-34.79,5.06,85.59
22113,"Vermilion Parish, Louisiana",Vermilion,Louisiana,40.1,22.91,1.08,-52.05,3.98,68.3
22115,"Vernon Parish, Louisiana",Vernon,Louisiana,74.6,73.56,1.16,-51.22,4.86,70.07
22117,"Washington Parish, Louisiana",Washington,Louisiana,73.4,74.19,1.62,-31.67,7.78,132.11
22119,"Webster Parish, Louisiana",Webster,Louisiana,77.7,142.02,1.65,-19.19,5.18,96.36
22121,"West Baton Rouge Parish, Louisiana",West Baton Rouge,Louisiana,60.5,59.29,1.11,-51.27,5.06,79.24
22123,"West Carroll Parish, Louisiana",West Carroll,Louisiana,82.7,86.39,1.04,-30.48,4.78,92.98
22125,"West Feliciana Parish, Louisiana",West Feliciana,Louisiana,55.7,58.21,1.31,-58.25,5.33,86.29
22127,"Winn Parish, Louisiana",Winn,Louisiana,73.7,84.13,1.47,-35.23,5.04,79.14
2220,"Sitka City and Borough, Alaska",Sitka City and Borough,Alaska,52.7,-0.7,2.09,-13.51,8.18,68.49
2230,"Skagway Municipality, Alaska",Skagway Municipality,Alaska,38.5,-11.03,1.69,-27.78,6.13,65.43
2240,"Southeast Fairbanks Census Area, Alaska",Southeast Fairbanks Census Area,Alaska,42.5,-6.39,1.29,-48.45,4.79,63.46
2261,"Valdez-Cordova Census Area, Alaska",Valdez-Cordova Census Area,Alaska,51.6,-1.61,1.34,-36.21,5.3,74.05
2275,"Wrangell City and Borough, Alaska",Wrangell City and Borough,Alaska,55.5,14.02,1.97,-14.61,6.85,102.89
2282,"Yakutat City and Borough, Alaska",Yakutat City and Borough,Alaska,38.5,-11.03,1.69,-27.78,6.13,65.43
2290,"Yukon-Koyukuk Census Area, Alaska",Yukon-Koyukuk Census Area,Alaska,61.1,-4.5,1.23,-58.80,6.04,50.73
23001,"Androscoggin County, Maine",Androscoggin,Maine,75.5,69.04,1.02,-53.22,7.47,173.33
23003,"Aroostook County, Maine",Aroostook,Maine,64.1,36.14,0.9,-61.69,6.64,133.44
23005,"Cumberland County, Maine",Cumberland,Maine,52.4,10.7,0.75,-62.62,6.89,141.2
23007,"Franklin County, Maine",Franklin,Maine,66,71.89,0.76,-54.49,6.95,188.52
23009,"Hancock County, Maine",Hancock,Maine,47.5,-1.46,0.81,-61.88,6.2,128.84
23011,"Kennebec County, Maine",Kennebec,Maine,67.1,42.46,1.08,-52.93,7.26,172.52
23013,"Knox County, Maine",Knox,Maine,51.5,27.69,0.7,-60.41,6.83,151.06
23015,"Lincoln County, Maine",Lincoln,Maine,54.8,33.24,0.93,-55.36,6.72,151.66
23017,"Oxford County, Maine",Oxford,Maine,79.5,60.88,0.79,-52.55,9.51,177.18
23019,"Penobscot County, Maine",Penobscot,Maine,67.8,38.85,0.9,-56.90,7.17,153.02
23021,"Piscataquis County, Maine",Piscataquis,Maine,71.4,34.14,1.09,-55.44,7.41,167.26
23023,"Sagadahoc County, Maine",Sagadahoc,Maine,66.4,47.16,0.85,-59.39,6.06,141.23
23025,"Somerset County, Maine",Somerset,Maine,76.4,61.56,0.95,-55.92,6.88,177.55
23027,"Waldo County, Maine",Waldo,Maine,57.9,9.79,0.96,-60.59,6.32,136.89
23029,"Washington County, Maine",Washington,Maine,67.8,36.83,1.01,-61.01,6.36,129.15
23031,"York County, Maine",York,Maine,52.1,20.72,0.85,-55.94,6.45,133.08
24001,"Allegany County, Maryland",Allegany,Maryland,61.7,15.21,1.33,-33.08,6.05,117.89
24003,"Anne Arundel County, Maryland",Anne Arundel,Maryland,47.4,-0.07,1.01,-34.45,5.93,107.74
24005,"Baltimore County, Maryland",Baltimore,Maryland,40.4,16.58,1.1,-7.79,4.75,107.82
24009,"Calvert County, Maryland",Calvert,Maryland,52.5,-4.24,1.14,-45.94,6.38,92.76
24011,"Caroline County, Maryland",Caroline,Maryland,68.7,60.66,1.27,-24.24,6.89,150.57
24013,"Carroll County, Maryland",Carroll,Maryland,58.3,40.32,0.9,-31.58,5.8,117.17
24015,"Cecil County, Maryland",Cecil,Maryland,74,60.55,1.12,-23.64,5.97,145.66
24017,"Charles County, Maryland",Charles,Maryland,47.5,-13.41,1.39,-22.34,6.42,110.27
24019,"Dorchester County, Maryland",Dorchester,Maryland,52.4,19.87,1.52,-26.76,6.91,128.6
24021,"Frederick County, Maryland",Frederick,Maryland,45.7,5.83,1.06,-37.00,5.51,110.4
24023,"Garrett County, Maryland",Garrett,Maryland,59.2,21.56,0.96,-45.03,5,95.71
24025,"Harford County, Maryland",Harford,Maryland,47.3,19.32,0.93,-37.12,5.76,121.47
24027,"Howard County, Maryland",Howard,Maryland,28.8,-33.34,0.62,-50.61,4.44,82.56
24029,"Kent County, Maryland",Kent,Maryland,47.1,7.63,1.15,-41.81,5.7,105.01
24031,"Montgomery County, Maryland",Montgomery,Maryland,26.3,-28.18,0.98,-34.27,4.89,90.46
24033,"Prince George's County, Maryland",Prince George's,Maryland,26.3,-28.18,0.98,-34.27,4.89,90.46
24035,"Queen Anne's County, Maryland",Queen Anne's,Maryland,51.9,23.17,0.89,-44.99,6.94,121.72
24037,"Saint Mary's County, Maryland",Saint Mary's,Maryland,53.1,24.61,1.04,-32.78,6.73,119.67
24039,"Somerset County, Maryland",Somerset,Maryland,51.1,14.81,1.6,-29.06,6.12,114.34
24041,"Talbot County, Maryland",Talbot,Maryland,42.3,17.98,0.98,-42.68,7.32,121.32
24043,"Washington County, Maryland",Washington,Maryland,65.5,55.66,1.48,-15.31,6.61,135.63
24045,"Wicomico County, Maryland",Wicomico,Maryland,56.5,26.82,1.29,-21.23,5.14,118.15
24047,"Worcester County, Maryland",Worcester,Maryland,41.3,5.44,0.92,-52.07,4.75,80.73
24510,"Baltimore City, Maryland",Baltimore City,Maryland,49.7,15.34,3.44,14.56,5.6,93.53
25001,"Barnstable County, Massachusetts",Barnstable,Massachusetts,42,32.81,0.67,-58.61,5.93,144.33
25003,"Berkshire County, Massachusetts",Berkshire,Massachusetts,52.9,25.81,0.95,-41.74,5.4,122.13
25005,"Bristol County, Massachusetts",Bristol,Massachusetts,48.8,50.7,0.88,-50.11,5.41,163.88
25007,"Dukes County, Massachusetts",Dukes,Massachusetts,37.6,-5.6,0.62,-68.91,4.56,107.6
25009,"Essex County, Massachusetts",Essex,Massachusetts,44,7.75,0.86,-59.16,5.66,133.33
25011,"Franklin County, Massachusetts",Franklin,Massachusetts,54.9,43.27,1.06,-42.27,5.58,151.65
25013,"Hampden County, Massachusetts",Hampden,Massachusetts,49,24.95,1.37,-39.75,6.03,169.48
25015,"Hampshire County, Massachusetts",Hampshire,Massachusetts,46.4,12.11,1.27,-46.00,5.32,136.95
25017,"Middlesex County, Massachusetts",Middlesex,Massachusetts,36.9,-1.1,0.71,-66.53,5.7,143.48
25019,"Nantucket County, Massachusetts",Nantucket,Massachusetts,38.3,-15.17,0.51,-66.46,6.98,135.88
25021,"Norfolk County, Massachusetts",Norfolk,Massachusetts,39.6,21.3,0.67,-61.74,5.82,167.46
25023,"Plymouth County, Massachusetts",Plymouth,Massachusetts,50.9,32.62,0.83,-56.49,5.83,182.41
25025,"Suffolk County, Massachusetts",Suffolk,Massachusetts,39.9,1.33,1.22,-57.23,5.69,160.03
25027,"Worcester County, Massachusetts",Worcester,Massachusetts,51.8,43.09,0.93,-50.85,6.08,168.13
26001,"Alcona County, Michigan",Alcona,Michigan,63.8,64.44,1.09,-46.73,6.94,97.21
26003,"Alger County, Michigan",Alger,Michigan,54,57.3,0.94,-53.70,6.4,106.93
26005,"Allegan County, Michigan",Allegan,Michigan,60.2,62.62,0.87,-39.96,6.14,112.53
26007,"Alpena County, Michigan",Alpena,Michigan,62.5,90.94,1.04,-32.42,8.87,123.27
26009,"Antrim County, Michigan",Antrim,Michigan,53.3,59.06,0.72,-56.99,5.81,85.67
26011,"Arenac County, Michigan",Arenac,Michigan,68.9,71.03,1.1,-42.60,5.64,93.57
26013,"Baraga County, Michigan",Baraga,Michigan,45.1,26.64,1.29,-52.02,5.95,118.43
26015,"Barry County, Michigan",Barry,Michigan,64.6,48.46,0.83,-47.10,6.47,93.16
26017,"Bay County, Michigan",Bay,Michigan,62,74.77,0.95,-40.53,5.08,97.66
26019,"Benzie County, Michigan",Benzie,Michigan,58.2,47.76,0.77,-59.66,5.64,84.49
26021,"Berrien County, Michigan",Berrien,Michigan,57.6,37.43,1.42,-30.41,6.25,98.41
26023,"Branch County, Michigan",Branch,Michigan,72.2,60.78,1,-44.08,5.07,82.82
26025,"Calhoun County, Michigan",Calhoun,Michigan,72.1,55.62,1.07,-43.03,6.12,90.86
26027,"Cass County, Michigan",Cass,Michigan,63.1,41.98,1.06,-43.91,5.65,92.64
26029,"Charlevoix County, Michigan",Charlevoix,Michigan,58,41.68,0.81,-57.47,7.93,91.55
26031,"Cheboygan County, Michigan",Cheboygan,Michigan,66.6,64.64,1.02,-51.37,7.55,108.96
26033,"Chippewa County, Michigan",Chippewa,Michigan,59.7,55.42,1.41,-56.25,7.4,134.67
26035,"Clare County, Michigan",Clare,Michigan,82.6,88.3,1.07,-44.86,6.22,108.23
26037,"Clinton County, Michigan",Clinton,Michigan,44.6,23.39,0.78,-46.14,6.2,97.17
26039,"Crawford County, Michigan",Crawford,Michigan,77,80.63,1.03,-52.83,6.22,91.02
26041,"Delta County, Michigan",Delta,Michigan,53.8,66.35,0.95,-51.71,5.61,98.36
26043,"Dickinson County, Michigan",Dickinson,Michigan,47.2,23.08,1.2,-52.14,7.15,114.83
26045,"Eaton County, Michigan",Eaton,Michigan,57.5,45.49,0.85,-43.09,7.1,111.89
26047,"Emmet County, Michigan",Emmet,Michigan,62.5,35.7,0.82,-56.66,7.82,103.87
26049,"Genesee County, Michigan",Genesee,Michigan,66.8,53.49,1.48,-31.05,6.9,102.12
26051,"Gladwin County, Michigan",Gladwin,Michigan,67.8,69.2,0.89,-48.89,5.8,94.2
26053,"Gogebic County, Michigan",Gogebic,Michigan,47.9,35.08,1.13,-54.20,6.46,109.6
26055,"Grand Traverse County, Michigan",Grand Traverse,Michigan,52.8,49.85,0.66,-56.00,6.72,99.74
26057,"Gratiot County, Michigan",Gratiot,Michigan,61.8,63.75,0.92,-43.58,5.77,106.87
26059,"Hillsdale County, Michigan",Hillsdale,Michigan,67.9,43.51,0.94,-46.78,5.45,85.62
26061,"Houghton County, Michigan",Houghton,Michigan,46.6,40.94,0.97,-54.49,5.69,100.56
26063,"Huron County, Michigan",Huron,Michigan,51.6,73.14,1.16,-36.78,5.56,116.26
26065,"Ingham County, Michigan",Ingham,Michigan,56.8,38.42,1.14,-39.91,7.45,113.66
26067,"Ionia County, Michigan",Ionia,Michigan,70.3,52.55,1.03,-46.03,7.49,103.22
