FIPS,Location,County,State,mortality_resp,perc_mortality_change_resp,mortality_ast,perc_mortality_change_ast,mortality_lung,perc_mortality_change_lung
1103,"Morgan County, Alabama",Morgan,Alabama,76.8,95.01,0.86,-33.51,4.86,116.88
1105,"Perry County, Alabama",Perry,Alabama,67.1,107.48,2.39,-15.32,6.03,140.06
1107,"Pickens County, Alabama",Pickens,Alabama,63.9,92.77,1.44,-26.29,6.03,121.52
1109,"Pike County, Alabama",Pike,Alabama,72.7,86.72,1.81,-19.15,6.58,118.63
1111,"Randolph County, Alabama",Randolph,Alabama,73.3,110.32,1.24,-38.91,4.74,107.18
1113,"Russell County, Alabama",Russell,Alabama,80.3,73.62,1.42,-36.96,5.95,81.33
1115,"Saint Clair County, Alabama",Saint Clair,Alabama,91.5,83.25,1.17,-30.63,5.11,110.88
1117,"Shelby County, Alabama",Shelby,Alabama,53.6,0.43,0.76,-45.07,5.44,102.66
1119,"Sumter County, Alabama",Sumter,Alabama,51.4,43.09,2.2,-30.78,5.27,94.56
1121,"Talladega County, Alabama",Talladega,Alabama,89.6,119.85,1.54,-20.00,5.35,108.82
1123,"Tallapoosa County, Alabama",Tallapoosa,Alabama,83,101.74,1.14,-32.28,4.72,89.54
1125,"Tuscaloosa County, Alabama",Tuscaloosa,Alabama,71,74.6,1.2,-27.09,7.65,126.85
1127,"Walker County, Alabama",Walker,Alabama,119,118.5,1.39,-12.94,7.07,132.35
1129,"Washington County, Alabama",Washington,Alabama,64.4,67.38,1.15,-31.31,6.29,131.21
1131,"Wilcox County, Alabama",Wilcox,Alabama,65,87.54,2.32,-27.41,6.53,124.49
1133,"Winston County, Alabama",Winston,Alabama,109,166.7,1.15,-18.49,5.57,126.12
12001,"Alachua County, Florida",Alachua,Florida,52.8,12.63,1.08,-43.99,7.71,97.52
12003,"Baker County, Florida",Baker,Florida,97,41.25,1.22,-30.37,6.94,96.1
12005,"Bay County, Florida",Bay,Florida,79.4,49.69,1.16,-43.62,5.72,68.44
12007,"Bradford County, Florida",Bradford,Florida,76.8,29.01,1.15,-36.87,7.35,100.25
12009,"Brevard County, Florida",Brevard,Florida,57.1,38.01,0.77,-41.96,5.46,82.67
12011,"Broward County, Florida",Broward,Florida,39.7,21.83,0.92,-40.67,3.56,80.56
12013,"Calhoun County, Florida",Calhoun,Florida,87.9,74.29,1.25,-34.49,5.74,80.38
12015,"Charlotte County, Florida",Charlotte,Florida,46.6,72.73,0.84,-35.28,4.76,70.91
12017,"Citrus County, Florida",Citrus,Florida,74.7,136.73,0.83,-42.28,4.81,74.6
12019,"Clay County, Florida",Clay,Florida,72.4,49.74,1,-24.36,7.11,121.69
12021,"Collier County, Florida",Collier,Florida,30.1,-15.62,0.58,-64.42,4.41,53.2
12023,"Columbia County, Florida",Columbia,Florida,89.4,51.08,1.48,-27.68,7.3,110.96
12027,"DeSoto County, Florida",DeSoto,Florida,49.6,14.95,0.86,-55.06,4.43,34.24
12029,"Dixie County, Florida",Dixie,Florida,86.5,65.04,1.13,-37.89,7.59,111.63
12031,"Duval County, Florida",Duval,Florida,59.1,3.38,1.73,-23.67,6.05,81.35
12033,"Escambia County, Florida",Escambia,Florida,70.1,71.46,1.35,-23.67,7.06,122.29
