usa_lung_cancer
County,State,GeoID,lung_cancer_per_100000,TimeFrame
Johnson,AR,5071,91.7,2014-2018
Lafayette,AR,5073,80.4,2014-2018
Lawrence,AR,5075,113.8,2014-2018
Lee,AR,5077,57.5,2014-2018
Lincoln,AR,5079,83.7,2014-2018
Little River,AR,5081,71.3,2014-2018
Logan,AR,5083,88.8,2014-2018
Lonoke,AR,5085,88.1,2014-2018
Madison,AR,5087,82.5,2014-2018
Marion,AR,5089,87.6,2014-2018
Miller,AR,5091,87.6,2014-2018
Mississippi,AR,5093,103.4,2014-2018
Monroe,AR,5095,92.7,2014-2018
Montgomery,AR,5097,56.3,2014-2018
Nevada,AR,5099,89.5,2014-2018
Newton,AR,5101,55.8,2014-2018
Ouachita,AR,5103,97.6,2014-2018
Perry,AR,5105,88.5,2014-2018
Phillips,AR,5107,72.2,2014-2018
Pike,AR,5109,86.7,2014-2018
Poinsett,AR,5111,113.7,2014-2018
Polk,AR,5113,72.9,2014-2018
Pope,AR,5115,75.1,2014-2018
Prairie,AR,5117,72.7,2014-2018
Pulaski,AR,5119,65.2,2014-2018
Randolph,AR,5121,113.2,2014-2018
St. Francis,AR,5123,78.7,2014-2018
Saline,AR,5125,72.5,2014-2018
Scott,AR,5127,76.9,2014-2018
Searcy,AR,5129,83.9,2014-2018
Sebastian,AR,5131,76.0,2014-2018
Sevier,AR,5133,55.3,2014-2018
Sharp,AR,5135,103.6,2014-2018
Stone,AR,5137,77.5,2014-2018
Union,AR,5139,73.7,2014-2018
Van Buren,AR,5141,87.6,2014-2018
Washington,AR,5143,62.5,2014-2018
White,AR,5145,79.5,2014-2018
Woodruff,AR,5147,106.5,2014-2018
Yell,AR,5149,75.7,2014-2018
Alameda,CA,6001,39.2,2014-2018
Alpine,CA,6003,NA,2014-2018
Amador,CA,6005,56.6,2014-2018
Butte,CA,6007,56.4,2014-2018
Calaveras,CA,6009,45.8,2014-2018
Colusa,CA,6011,56.0,2014-2018
Contra Costa,CA,6013,39.8,2014-2018
Del Norte,CA,6015,52.8,2014-2018
El Dorado,CA,6017,41.6,2014-2018
Fresno,CA,6019,41.1,2014-2018
Glenn,CA,6021,55.7,2014-2018
Humboldt,CA,6023,52.0,2014-2018
Imperial,CA,6025,33.8,2014-2018
Inyo,CA,6027,45.8,2014-2018
Kern,CA,6029,44.4,2014-2018
Kings,CA,6031,41.6,2014-2018
Lake,CA,6033,70.3,2014-2018
Lassen,CA,6035,39.8,2014-2018
Los Angeles,CA,6037,35.7,2014-2018
Madera,CA,6039,41.3,2014-2018
Marin,CA,6041,33.0,2014-2018
