fips,location,county,state,mortality_resp,perc_mortality_change_resp,mortality_ast,perc_mortality_change_ast,mortality_lung,perc_mortality_change_lung,year,days_with_aqi,good_days,moderate_days,unhealthy_for_sensitive_groups_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,x90th_percentile_aqi,median_aqi,days_co,days_no2,days_ozone,days_pm2_5,days_pm10,lat,long,distance_to_nearest_plant,name_of_nearest_plant,name,is_plant
1023,"Choctaw County, Alabama",Choctaw,Alabama,60.1,74.76,1.46,-29.90,5.59,116.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.0198,-88.2632,114917.47884144828,Barry Steam Plant,NA,0
1025,"Clarke County, Alabama",Clarke,Alabama,69.3,62.6,1.45,-31.65,6.19,102.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.6767,-87.8308,76208.09366938418,Barry Steam Plant,NA,0
1027,"Clay County, Alabama",Clay,Alabama,76.2,75.05,1.09,-33.77,5.53,100.35,2014,114,96,18,0,0,0,0,70,54,36,0,0,0,114,0,33.269,-85.8605,55837.155392620654,Gaston Steam Plant,NA,0
1029,"Cleburne County, Alabama",Cleburne,Alabama,92.8,101.8,1.05,-31.56,4.86,103.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.6745,-85.5188,53580.17296622801,Wansley Plant,NA,0
1031,"Coffee County, Alabama",Coffee,Alabama,79.4,71.54,1.5,-17.22,6.8,102.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.4027,-85.9882,197500.45501117696,Barry Steam Plant,NA,0
1033,"Colbert County, Alabama",Colbert,Alabama,80.4,114.61,1.38,-15.46,5.6,122.5,2014,284,251,33,0,0,0,0,87,52,37,0,0,206,78,0,34.7005,-87.8049,136882.39071048948,Miller Steam Plant,NA,0
1035,"Conecuh County, Alabama",Conecuh,Alabama,76.4,135.95,1.34,-26.70,5.46,108.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.4292,-86.9937,107473.876333667,Barry Steam Plant,NA,0
1037,"Coosa County, Alabama",Coosa,Alabama,78.6,93.67,1.24,-30.81,5.39,116.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.9362,-86.2477,39343.46379276811,Gaston Steam Plant,NA,0
1039,"Covington County, Alabama",Covington,Alabama,74.4,87.68,1.02,-28.25,5.77,104.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.2485,-86.4513,150946.3173446655,Barry Steam Plant,NA,0
1041,"Crenshaw County, Alabama",Crenshaw,Alabama,107,118.91,1.76,-20.72,5.67,101.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.7315,-86.3136,168192.14073591764,Gaston Steam Plant,NA,0
1043,"Cullman County, Alabama",Cullman,Alabama,89.7,99.19,0.82,-30.09,5.27,116.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.1319,-86.8676,58106.745371443394,Miller Steam Plant,NA,0
1045,"Dale County, Alabama",Dale,Alabama,84.8,93.02,1.54,-10.88,6.43,102.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.4318,-85.611,216146.081465144,Gaston Steam Plant,NA,0
