FIPS,Location,mortality_resp,perc_mortality_change_resp,mortality_ast,perc_mortality_change_ast,mortality_lung,perc_mortality_change_lung
12009,"Brevard County, Florida",57.1,38.01,0.77,-41.96,5.46,82.67
12011,"Broward County, Florida",39.7,21.83,0.92,-40.67,3.56,80.56
12013,"Calhoun County, Florida",87.9,74.29,1.25,-34.49,5.74,80.38
12015,"Charlotte County, Florida",46.6,72.73,0.84,-35.28,4.76,70.91
12017,"Citrus County, Florida",74.7,136.73,0.83,-42.28,4.81,74.6
12019,"Clay County, Florida",72.4,49.74,1.00,-24.36,7.11,121.69
12021,"Collier County, Florida",30.1,-15.62,0.58,-64.42,4.41,53.2
12023,"Columbia County, Florida",89.4,51.08,1.48,-27.68,7.30,110.96
12027,"DeSoto County, Florida",49.6,14.95,0.86,-55.06,4.43,34.24
12029,"Dixie County, Florida",86.5,65.04,1.13,-37.89,7.59,111.63
12031,"Duval County, Florida",59.1,3.38,1.73,-23.67,6.05,81.35
12033,"Escambia County, Florida",70.1,71.46,1.35,-23.67,7.06,122.29
12035,"Flagler County, Florida",42.3,39.5,0.98,-37.35,5.14,95.06
12037,"Franklin County, Florida",76.4,63.88,1.26,-37.75,5.90,83.37
12039,"Gadsden County, Florida",55.8,33.82,2.13,-40.11,8.02,95.31
12041,"Gilchrist County, Florida",74.8,26.22,1.04,-48.55,8.08,103.57
12043,"Glades County, Florida",44.1,15.02,0.75,-56.75,3.83,43.42
12045,"Gulf County, Florida",80.7,66.64,1.20,-39.74,4.57,62.26
12047,"Hamilton County, Florida",77.5,49.65,1.89,-36.63,7.13,92.08
12049,"Hardee County, Florida",62.7,48.27,0.89,-44.09,5.05,52.6
12051,"Hendry County, Florida",59.1,33.23,0.97,-52.20,4.09,44.9
12053,"Hernando County, Florida",64.1,104.82,0.60,-50.09,4.83,65.06
12055,"Highlands County, Florida",61.6,82.25,0.90,-42.26,4.31,60.45
12057,"Hillsborough County, Florida",52.9,3.28,1.04,-46.25,4.44,47.7
12059,"Holmes County, Florida",101.,85.75,1.16,-21.52,6.57,96.58
12061,"Indian River County, Florida",41.1,25.2,0.70,-53.91,5.15,65.3
12063,"Jackson County, Florida",66.2,50.78,1.42,-32.81,7.50,101.25
12065,"Jefferson County, Florida",55.6,31.36,1.70,-48.72,6.28,92.07
12067,"Lafayette County, Florida",79.8,38.71,1.12,-32.88,7.84,119.63
12069,"Lake County, Florida",46.0,28.43,0.66,-55.73,4.97,81.66
12071,"Lee County, Florida",40.1,23.88,0.56,-53.69,4.62,55.99
12073,"Leon County, Florida",47.9,5.81,1.36,-33.31,7.15,110.87
12075,"Levy County, Florida",75.8,67.08,1.03,-47.94,6.08,86.54
12077,"Liberty County, Florida",91.9,56.02,1.26,-30.73,6.35,94.23
12079,"Madison County, Florida",61.3,41.37,1.65,-39.69,7.24,100.64
12081,"Manatee County, Florida",40.0,1.84,0.66,-52.87,4.27,43.52
12083,"Marion County, Florida",57.7,45.01,1.10,-41.49,4.89,78.2
12085,"Martin County, Florida",45.6,43.71,0.57,-54.83,4.24,57.2
